"","Date","value"
"106",2020-12-23,24725.2928037953
"107",2020-12-24,24936.8642096877
"108",2020-12-25,25806.2328748274
"109",2020-12-26,26957.4090385318
"110",2020-12-27,27671.1013331664
"111",2020-12-28,28190.8638051343
"112",2020-12-29,28633.4645214129
"113",2020-12-30,30587.9950787139
"114",2020-12-31,31288.4214731777
"115",2021-01-01,31190.5315139258
"116",2021-01-02,33421.6251297665
"117",2021-01-03,35349.3536901736
"118",2021-01-04,36143.3675390673
"119",2021-01-05,37668.6383348584
"120",2021-01-06,39226.115058589
"121",2021-01-07,40084.8747563219
"122",2021-01-08,39823.8423704433
"123",2021-01-09,38976.2132695723
"124",2021-01-10,39156.4869081593
"125",2021-01-11,38391.0726137781
"126",2021-01-12,36512.2796511722
"127",2021-01-13,37670.5484743738
"128",2021-01-14,38781.9757230544
"129",2021-01-15,38102.5852560043
"130",2021-01-16,37252.3892878866
"131",2021-01-17,36815.8492303848
"132",2021-01-18,35259.0179761958
"133",2021-01-19,35685.9848197413
"134",2021-01-20,35078.1101262569
"135",2021-01-21,32609.8270939112
"136",2021-01-22,33255.7319521284
"137",2021-01-23,33149.5859871125
"138",2021-01-24,32288.9274080539
"139",2021-01-25,33404.6702961111
"140",2021-01-26,34054.5080152559
"141",2021-01-27,33078.1452681446
"142",2021-01-28,33913.7206006002
"143",2021-01-29,34791.6717590046
"144",2021-01-30,35707.9908278322
"145",2021-01-31,36064.2900147676
"146",2021-02-01,35994.8269844532
"147",2021-02-02,37544.6744083118
"148",2021-02-03,39309.7784188175
"149",2021-02-04,39121.9130076575
"150",2021-02-05,42473.8851224136
"151",2021-02-06,43530.781453023
"152",2021-02-07,42924.9670082498
"153",2021-02-08,47536.122605753
"154",2021-02-09,48527.3461632395
"155",2021-02-10,47620.0036243153
"156",2021-02-11,49453.4673625469
"157",2021-02-12,49376.011017561
"158",2021-02-13,49577.5513764501
"159",2021-02-14,51312.7273660612
"160",2021-02-15,51092.5021650362
"161",2021-02-16,52998.5436993933
"162",2021-02-17,54678.6934105873
"163",2021-02-18,55343.7559549069
"164",2021-02-19,56231.1564871812
"165",2021-02-20,54973.7367874837
"166",2021-02-21,56058.0505626893
"167",2021-02-22,53422.7672973871
"168",2021-02-23,50153.0287527704
"169",2021-02-24,50277.8145271635
"170",2021-02-25,48231.5634985542
"171",2021-02-26,49108.6890563822
"172",2021-02-27,48685.2798007751
"173",2021-02-28,48896.1869734764
"174",2021-03-01,50294.9494918537
"175",2021-03-02,50330.9081496859
"176",2021-03-03,51198.580580914
"177",2021-03-04,51278.9452915669
"178",2021-03-05,51686.5330379462
"179",2021-03-06,52663.6275673866
"180",2021-03-07,54184.098621645
"181",2021-03-08,55614.4591257191
"182",2021-03-09,56836.9784374142
"183",2021-03-10,58866.9050909901
"184",2021-03-11,59282.8876941395
"185",2021-03-12,58199.444552269
"186",2021-03-13,60121.615319705
"187",2021-03-14,60341.4052040625
"188",2021-03-15,58259.0303975058
"189",2021-03-16,58441.570684948
"190",2021-03-17,59491.8321891069
"191",2021-03-18,59003.3993826485
"192",2021-03-19,58014.307375741
"193",2021-03-20,58044.5768950558
"194",2021-03-21,57111.2166797853
"195",2021-03-22,55109.2291002607
"196",2021-03-23,55968.6267620754
"197",2021-03-24,55458.3755840206
"198",2021-03-25,54749.2297216511
"199",2021-03-26,56849.6514062619
"200",2021-03-27,58074.1746757197
"201",2021-03-28,58195.6017568588
"202",2021-03-29,59011.7304430103
"203",2021-03-30,59821.486993804
"204",2021-03-31,59389.3001029778
"205",2021-04-01,59670.0193098736
"206",2021-04-02,60070.9084333944
"207",2021-04-03,58969.4671989584
"208",2021-04-04,58565.6059133625
"209",2021-04-05,59648.2534764957
"210",2021-04-06,59368.299826498
"211",2021-04-07,58837.9715435171
"212",2021-04-08,59606.7107565832
"213",2021-04-09,59885.3772202277
"214",2021-04-10,61672.0781912661
"215",2021-04-11,61918.5912651897
"216",2021-04-12,61985.2510062742
"217",2021-04-13,63034.7019207764
"218",2021-04-14,62830.6434801292
"219",2021-04-15,61705.3649054146
"220",2021-04-16,60660.826314342
"221",2021-04-17,60039.6369351983
"222",2021-04-18,57309.304527173
"223",2021-04-19,55824.1654248548
"224",2021-04-20,55855.6020431662
"225",2021-04-21,54317.9434859991
"226",2021-04-22,52605.8880652571
"227",2021-04-23,53688.1678608608
"228",2021-04-24,53611.8823676014
"229",2021-04-25,53032.1118682837
"230",2021-04-26,54785.3760159779
"231",2021-04-27,57161.184278307
"232",2021-04-28,57348.7081910467
"233",2021-04-29,56390.0883508682
"234",2021-04-30,58256.9438796854
"235",2021-05-01,57616.2815851283
"236",2021-05-02,58252.1854181814
"237",2021-05-03,58142.5344034457
"238",2021-05-04,56712.2114266706
"239",2021-05-05,58593.822689426
"240",2021-05-06,58553.1918828773
"241",2021-05-07,58101.5208184481
"242",2021-05-08,59093.7275911665
"243",2021-05-09,56553.9925816631
"244",2021-05-10,55300.3706446171
"245",2021-05-11,55476.1972982812
"246",2021-05-12,50752.7300005484
"247",2021-05-13,49985.889668808
"248",2021-05-14,49134.3202015495
"249",2021-05-15,47205.7810514855
"250",2021-05-16,44383.8632704282
"251",2021-05-17,44110.6345123982
"252",2021-05-18,42213.9260172844
"253",2021-05-19,39018.0111751175
"254",2021-05-20,39221.1689605904
"255",2021-05-21,39308.4499524355
"256",2021-05-22,39076.8614852953
"257",2021-05-23,38048.1181343412
"258",2021-05-24,39470.9093822217
"259",2021-05-25,38644.0929213357
"260",2021-05-26,38489.0488858175
"261",2021-05-27,38506.9156328368
"262",2021-05-28,37689.6386113381
"263",2021-05-29,36690.0502189207
"264",2021-05-30,37456.6616341376
"265",2021-05-31,39054.9605536413
"266",2021-06-01,38091.4621646023
"267",2021-06-02,37855.8695346665
"268",2021-06-03,38801.2422383237
"269",2021-06-04,36871.9975750399
"270",2021-06-05,35789.650230298
"271",2021-06-06,37318.4861194873
